species,catalog,catalog_id,p,N,matches_checked,FR,FA,cost
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,5,0.102745995,0,6925
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,10,0.088100686,0,9029
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,15,0.079633867,0,10868
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,20,0.072997712,0,12548
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,25,0.068421053,0,14106
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,30,0.06590389,0,15581
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,35,0.062242563,0,16995
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,40,0.059954233,0,18338
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,45,0.057665904,0,19627
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,50,0.055377574,0,20870
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,1,0.050761421,0.116751269,985
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,5,0.080203046,0,1451
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,10,0.068020305,0,1818
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,15,0.060913706,0,2135
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,20,0.056852792,0,2430
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,25,0.052791878,0,2704
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,30,0.05177665,0,2964
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,35,0.050761421,0,3218
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,40,0.050761421,0,3468
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,45,0.049746193,0,3714
killer_whale,Killer-Whales-Antarctic-type-C,killer_whale-0,0.434957447,917,50,0.046700508,0,3953
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,1,0.005154639,0.02233677,582
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,5,0.015463918,0,633
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,10,0.008591065,0,670
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,15,0.008591065,0,695
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,20,0.008591065,0,720
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,25,0.008591065,0,745
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,30,0.008591065,0,770
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,35,0.008591065,0,795
